               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.018062,            0.017923,                   0,             0.82497,                0.78,             0.78559,             0.55238,            0.021881,             0.01679,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.019098,             0.01843,                   0,              0.8462,             0.77038,             0.77379,             0.53849,            0.022085,            0.017047,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.018859,            0.017146,                   0,             0.81419,             0.78886,             0.82114,             0.56611,            0.021196,            0.016869,                   0,            0.006106,            0.006106,            0.006106
                 120,             0.01845,            0.017266,                   0,             0.82604,                 0.8,             0.82845,             0.56983,            0.021571,            0.016636,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.018404,            0.017393,                   0,             0.84156,                 0.8,             0.83166,             0.58259,            0.021969,             0.01651,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.018751,            0.018876,                   0,             0.86397,                 0.8,              0.8395,             0.58368,            0.022431,            0.016385,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.017876,             0.01749,                   0,             0.84009,                 0.8,             0.79728,             0.54394,            0.022761,            0.016955,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.017292,            0.016519,                   0,             0.81422,                 0.8,             0.81099,             0.55543,            0.022971,            0.017184,                   0,            0.005941,            0.005941,            0.005941
                 125,             0.01753,            0.016467,                   0,             0.82258,                0.76,             0.78931,             0.53719,             0.02361,            0.018329,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.018329,             0.01721,                   0,             0.80048,                0.76,             0.78521,             0.53981,            0.023484,            0.018733,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.017497,            0.017116,                   0,             0.80812,                0.78,              0.7917,             0.54528,            0.023893,            0.018291,                   0,            0.005842,            0.005842,            0.005842
                 128,             0.01848,            0.017099,                   0,             0.82732,                0.78,             0.81455,             0.55657,            0.023064,            0.017679,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.018397,            0.017103,                   0,             0.86521,                 0.8,             0.79597,             0.54917,            0.022871,             0.01788,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.018872,            0.018049,                   0,             0.86623,                 0.8,             0.81088,             0.55893,            0.022627,            0.018221,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.016998,            0.017379,                   0,             0.83285,             0.79728,             0.81342,             0.56661,            0.022396,            0.018687,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.018686,            0.018199,                   0,             0.84022,                0.78,             0.79958,             0.54911,            0.022577,            0.018547,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.017618,            0.017592,                   0,             0.84156,                0.78,             0.80693,             0.57573,            0.021662,            0.018202,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.017239,            0.018005,                   0,             0.81622,             0.79945,             0.82699,             0.59631,            0.021423,            0.017007,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.017807,            0.017516,                   0,             0.79851,                 0.8,             0.82586,             0.59816,            0.022898,            0.016699,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.017913,            0.017245,                   0,             0.80968,                0.78,             0.82143,             0.58928,            0.022276,            0.017191,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.017736,            0.017536,                   0,             0.80323,                0.78,             0.81856,                0.57,            0.022285,            0.017591,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.017471,             0.01685,                   0,             0.79984,             0.79923,             0.79674,             0.54119,            0.023302,            0.018328,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.016952,            0.016649,                   0,             0.80297,                0.78,             0.79505,             0.54962,            0.023419,            0.018697,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.016856,            0.017967,                   0,             0.84644,                 0.8,             0.80004,             0.56121,            0.022323,            0.017362,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.017991,            0.016519,                   0,             0.84895,                 0.8,             0.78484,             0.57386,            0.023062,            0.018371,                   0,             0.00538,             0.00538,             0.00538
                 142,             0.01682,            0.016903,                   0,             0.86147,                 0.8,             0.78757,             0.57698,            0.022734,            0.018972,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.016699,            0.016467,                   0,             0.86168,                 0.8,             0.76589,             0.54083,            0.022896,            0.019453,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.016534,            0.017063,                   0,             0.86196,                0.78,             0.77272,             0.55019,            0.022477,            0.018389,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.016388,            0.016577,                   0,             0.84445,                0.78,             0.79215,             0.55362,            0.022101,            0.017452,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.016864,            0.017831,                   0,             0.79851,                 0.8,             0.80866,             0.55602,            0.022793,            0.017174,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.016513,            0.015778,                   0,             0.83324,             0.79948,             0.80776,             0.54228,            0.022592,            0.017194,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.016548,            0.017672,                   0,             0.82792,                0.78,             0.81833,             0.55975,            0.023054,            0.017745,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.016247,            0.016658,                   0,             0.82639,                0.78,             0.82876,             0.57035,            0.022991,            0.018081,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.017123,            0.016656,                   0,              0.8394,                0.78,             0.80578,             0.56121,             0.02304,            0.019243,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.016158,            0.016432,                   0,             0.84001,                0.78,             0.79969,             0.54917,            0.023613,             0.01943,                   0,             0.00505,             0.00505,             0.00505
                 152,              0.0161,            0.015431,                   0,             0.82463,                0.78,             0.80979,             0.56062,            0.023334,            0.019016,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.017135,               0.017,                   0,             0.82049,                0.76,             0.82882,             0.56583,            0.023517,            0.018585,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.016148,            0.015765,                   0,             0.80607,                0.84,             0.85038,             0.59649,            0.022957,            0.017843,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.016523,            0.016958,                   0,             0.80674,                0.84,             0.83927,              0.5947,            0.023898,            0.018737,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.016598,             0.01642,                   0,             0.84883,              0.7862,             0.83058,             0.58353,            0.022971,            0.019034,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.015548,            0.015515,                   0,             0.81335,                 0.8,             0.81364,             0.57225,            0.023133,            0.019377,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.015476,            0.015043,                   0,             0.84545,                 0.8,             0.82956,             0.57691,             0.02274,            0.018886,                   0,            0.004819,            0.004819,            0.004819
                 159,             0.01607,            0.015843,                   0,             0.76445,                0.86,             0.82404,             0.56745,            0.022527,            0.018425,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.016317,            0.015812,                   0,             0.81972,              0.8185,             0.81511,             0.58126,            0.021714,            0.018488,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.014895,            0.017185,                   0,              0.8197,             0.81838,              0.8187,             0.58285,            0.021948,            0.018228,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.016599,            0.015596,                   0,             0.79038,                0.84,             0.81458,             0.58356,            0.021558,            0.018101,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.016926,            0.016262,                   0,             0.83599,             0.81563,             0.81046,             0.59525,             0.02181,            0.018263,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.016444,            0.016195,                   0,             0.83471,                0.82,             0.81117,             0.59589,            0.022027,            0.018452,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.015782,            0.015908,                   0,             0.85039,                0.82,             0.82442,             0.60751,            0.022511,             0.01881,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.015508,            0.015767,                   0,             0.83178,                0.82,             0.81326,             0.57755,            0.022656,            0.019434,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.015789,            0.015923,                   0,             0.81395,                0.82,             0.82959,             0.58334,            0.022835,            0.019261,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.016959,            0.016783,                   0,             0.86311,                0.78,             0.81267,             0.56291,            0.022807,            0.019206,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.014838,            0.015105,                   0,             0.86062,                 0.8,             0.81386,             0.56902,            0.023097,            0.019506,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.016044,            0.015791,                   0,             0.85082,              0.7985,             0.80706,             0.56728,            0.023188,            0.019879,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.014198,            0.014704,                   0,              0.8504,             0.79592,             0.81597,             0.57375,            0.023022,            0.020372,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.015826,            0.015698,                   0,             0.87572,                0.76,              0.7951,             0.56295,             0.02286,            0.020565,                   0,            0.004357,            0.004357,            0.004357
                 173,            0.016142,            0.016125,                   0,             0.80823,                0.78,             0.80066,             0.57327,            0.022279,            0.020324,                   0,            0.004324,            0.004324,            0.004324
                 174,            0.016459,            0.016801,                   0,             0.77534,                0.78,             0.79649,             0.56669,            0.022426,            0.020046,                   0,            0.004291,            0.004291,            0.004291
